ID,refID,Leg,category,CN,rateperuom,qty,uom,charge,startTime,endTime,costAdjust,total,note1,costStatus,CSOPcomments
SeaSky-6,NYKU3220564,d.chb,Import Duty,进口关税,940.0,1.0,HBL,940.0,2021/11-4月,2021/19-4月,0.0,940.0,rush service,Confirmed, 
SeaSky-8,SMCU2029431,d.dray,CFS Pickup,CFS提货费,120.0,4.0,PLT/KG,480.0,2021/13-4月,2021/21-4月,0.0,480.0,EXAM CNTR,Confirmed, 
